pair_key,substance_a_id,substance_b_id,exact_chunk_count,class_level_chunk_count,total_chunk_count,source_count,source_ids,source_titles,exact_chunk_ids,class_level_chunk_ids,all_chunk_ids
atypical_ad|mescaline_peyote,mescaline_peyote,atypical_ad,0,0,0,0,,,,,
atypical_ad|methylphenidate,atypical_ad,methylphenidate,0,0,0,0,,,,,
atypical_ad|nbome_series,atypical_ad,nbome_series,0,0,0,0,,,,,
atypical_ad|ndri_bupropion,atypical_ad,ndri_bupropion,0,4,4,1,schmid_2015_a,"Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",,schmid_2015_a::chunk::237b11fcaa84;schmid_2015_a::chunk::45217f0ffa73;schmid_2015_a::chunk::7e2a245a8130;schmid_2015_a::chunk::9519a6b13019,schmid_2015_a::chunk::237b11fcaa84;schmid_2015_a::chunk::45217f0ffa73;schmid_2015_a::chunk::7e2a245a8130;schmid_2015_a::chunk::9519a6b13019
atypical_ad|nn_dmt,nn_dmt,atypical_ad,0,5,5,2,malcolm_2023;ruffell_2020,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::c115fff54eba;ruffell_2020::chunk::2e4b273d12f3;ruffell_2020::chunk::3b2fd0f128a6;ruffell_2020::chunk::52ffeca03d9f;ruffell_2020::chunk::c72b2f73e595,malcolm_2023::chunk::c115fff54eba;ruffell_2020::chunk::2e4b273d12f3;ruffell_2020::chunk::3b2fd0f128a6;ruffell_2020::chunk::52ffeca03d9f;ruffell_2020::chunk::c72b2f73e595
atypical_ad|psilocybin,psilocybin,atypical_ad,1,1,2,2,halman_2024;thomas_2024,Drug-drug interactions involving classic psychedelics: A systematic review | Toxicology and Pharmacological Interactions of Classic Psychedelics,thomas_2024::chunk::0dc8a69bc4a3,halman_2024::chunk::3034cb6a7fd1,halman_2024::chunk::3034cb6a7fd1;thomas_2024::chunk::0dc8a69bc4a3
atypical_ad|salvia,salvia,atypical_ad,0,0,0,0,,,,,
atypical_ad|serotonergic_opioids,atypical_ad,serotonergic_opioids,1,0,1,1,baldo_2018,Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,baldo_2018::chunk::1e917052d16f,,baldo_2018::chunk::1e917052d16f
atypical_ad|snri,snri,atypical_ad,1,0,1,1,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,cohen_2021::chunk::7ccc099822df,,cohen_2021::chunk::7ccc099822df
atypical_ad|ssri,ssri,atypical_ad,2,0,2,2,baldo_2018;cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database | Opioid analgesic drugs and serotonin toxicity syndrome_mechanisms animal models and links to clinical effects,baldo_2018::chunk::1e917052d16f;cohen_2021::chunk::7ccc099822df,,baldo_2018::chunk::1e917052d16f;cohen_2021::chunk::7ccc099822df
atypical_ad|tobacco_rape,tobacco_rape,atypical_ad,0,1,1,1,schmid_2015_a,"Interactions between bupropion and 3,4-methylenedioxymethamphetamine in healthy subjects",,schmid_2015_a::chunk::39c967e598af,schmid_2015_a::chunk::39c967e598af
atypical_ad|tricyclic_ad,tricyclic_ad,atypical_ad,1,0,1,1,cohen_2021,Concomitant drugs associated with increased mortality for MDMA users reported in a drug safety surveillance database,cohen_2021::chunk::7ccc099822df,,cohen_2021::chunk::7ccc099822df
atypical_ad|two_c_x,atypical_ad,two_c_x,0,0,0,0,,,,,
atypical_ad|yopo,yopo,atypical_ad,0,0,0,0,,,,,
ayahuasca|ayahuasca,ayahuasca,ayahuasca,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|belladonna,ayahuasca,belladonna,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|benzodiazepines,ayahuasca,benzodiazepines,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|beta_blockers,ayahuasca,beta_blockers,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|beta_blockers_ccb,ayahuasca,beta_blockers_ccb,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|brugmansia,ayahuasca,brugmansia,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|calcium_channel_blockers,ayahuasca,calcium_channel_blockers,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|cannabis,ayahuasca,cannabis,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|clonidine,ayahuasca,clonidine,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|clonidine_guanfacine,ayahuasca,clonidine_guanfacine,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|cocaine,ayahuasca,cocaine,1,19,20,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",ruffell_2023::chunk::ae332f5b19b5,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::ae332f5b19b5;ruffell_2023::chunk::e9b72429f8eb
ayahuasca|dox,ayahuasca,dox,0,19,19,3,malcolm_2023;ruffell_2020;ruffell_2023,"Ayahuasca and Drug Interaction: The Good, the Bad, and the Soul | Ayahuasca: A review of historical, pharmacological, and therapeutic aspects | The pharmacological interaction of compounds in ayahuasca: a systematic review",,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb,malcolm_2023::chunk::7f4b184834c1;malcolm_2023::chunk::9dfa64780b09;malcolm_2023::chunk::b08b385b2756;malcolm_2023::chunk::d8148a2d31f5;ruffell_2020::chunk::4d81ee9141cb;ruffell_2020::chunk::62003914ce28;ruffell_2020::chunk::a4850c6e2767;ruffell_2020::chunk::b04afb49b95d;ruffell_2020::chunk::c9dff5ca1f0d;ruffell_2020::chunk::e8d5573b16a8;ruffell_2023::chunk::0b7f36d19a2e;ruffell_2023::chunk::0e15604b8ed4;ruffell_2023::chunk::0eebffeda8b5;ruffell_2023::chunk::18a36bc3f3a4;ruffell_2023::chunk::32fb906025f6;ruffell_2023::chunk::50c6242e77d9;ruffell_2023::chunk::52213b64ffee;ruffell_2023::chunk::9603179454b2;ruffell_2023::chunk::e9b72429f8eb
